Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
22.85,8.01,1.9,2746.12,1724.02,588.87,0.22,310.27,0.58,254.95,613.0,9.88,177.95,239.8,59.79,73.36,3.07,non-potable
29.01,9.3,10.56,2683.38,1512.97,308.33,0.28,296.91,0.57,238.63,737.0,5.85,137.79,185.02,76.25,71.29,4.04,non-potable
22.26,9.45,8.52,1546.02,1093.7,571.83,0.36,290.71,0.56,350.66,655.14,7.47,115.6,225.73,78.85,74.96,2.66,non-potable
15.76,9.09,3.2,2765.24,1583.22,439.29,0.21,277.7,0.57,391.11,651.83,7.76,118.97,252.39,67.86,71.25,4.32,non-potable
17.34,7.84,13.6,1823.84,1500.49,571.89,0.33,313.61,0.32,215.45,529.77,5.01,194.92,163.62,96.69,60.89,2.39,non-potable
22.38,8.52,9.02,2105.63,1339.35,431.28,0.28,470.37,0.57,260.86,491.19,5.97,110.03,275.71,56.49,72.37,2.38,non-potable
21.63,6.02,12.59,2063.12,1722.09,417.39,0.27,481.7,0.33,385.68,766.8,9.18,174.96,162.75,87.63,81.38,2.4,non-potable
25.8,7.05,11.21,1978.08,1019.81,517.98,0.21,439.09,0.45,303.94,692.79,7.26,118.36,245.46,60.81,55.32,4.28,non-potable
26.83,7.39,6.15,2751.43,1645.49,324.3,0.21,437.82,0.48,202.76,689.62,8.22,188.22,280.07,73.43,66.22,3.72,non-potable
21.64,7.89,9.76,2366.2,1637.05,382.87,0.32,428.03,0.36,385.21,430.39,7.45,153.89,209.36,56.6,47.47,3.68,non-potable
26.19,5.78,1.7,1945.41,1199.5,401.46,0.39,298.0,0.46,386.84,620.99,9.7,103.1,191.32,75.5,80.73,2.64,non-potable
29.56,8.19,1.58,2366.89,1225.98,469.73,0.21,405.41,0.5,239.46,487.08,5.7,144.62,241.14,88.3,50.27,2.29,non-potable
23.16,5.84,0.07,1563.69,1428.34,458.47,0.35,413.8,0.39,368.02,771.42,9.66,126.17,234.21,51.48,50.71,3.56,non-potable
17.73,8.98,5.21,2220.16,1030.05,464.55,0.28,261.45,0.58,221.68,698.23,7.19,163.27,267.5,77.53,60.63,4.26,non-potable
19.77,8.04,10.01,2657.96,1779.65,327.34,0.27,473.4,0.39,246.87,451.55,7.08,156.09,238.06,75.1,79.87,3.93,non-potable
23.64,5.06,8.74,2755.26,1488.18,512.23,0.25,307.87,0.52,365.21,470.51,7.43,120.82,157.88,72.49,58.62,2.24,non-potable
19.73,5.48,11.93,2300.9,1845.63,328.2,0.26,338.62,0.36,299.16,739.34,9.46,197.85,288.25,76.31,64.46,2.63,non-potable
16.77,9.66,1.35,2727.31,1946.49,536.95,0.39,318.85,0.48,397.63,683.92,5.16,153.72,188.87,73.01,51.13,2.7,non-potable
17.62,7.09,13.83,2556.66,1616.23,300.96,0.22,351.94,0.53,256.85,596.1,6.9,119.01,283.43,68.2,73.5,2.29,non-potable
18.3,6.74,2.84,1707.71,1708.1,497.55,0.24,431.93,0.58,208.29,438.8,6.81,173.66,236.22,83.67,77.82,2.61,non-potable
21.48,5.94,9.35,2708.9,1741.4,486.57,0.29,495.68,0.56,394.81,769.01,6.81,101.82,198.17,55.81,57.36,2.73,non-potable
15.35,6.71,8.94,2351.0,1500.74,464.49,0.31,489.05,0.52,343.59,651.27,7.83,190.78,169.24,79.77,69.76,3.49,non-potable
18.35,8.84,10.7,2609.35,1616.08,360.35,0.33,409.46,0.44,390.28,786.9,6.16,163.87,189.69,82.32,65.29,2.5,non-potable
29.28,8.66,13.55,2486.0,1701.8,545.54,0.24,476.56,0.46,287.81,490.95,9.21,109.46,155.43,89.7,71.2,2.92,non-potable
26.82,9.44,11.93,1576.27,1421.23,311.86,0.35,330.99,0.32,394.09,669.53,9.21,160.48,214.53,91.88,54.86,2.26,non-potable
27.0,8.68,1.4,2043.12,1269.55,380.34,0.28,415.41,0.35,369.89,472.09,7.96,136.46,242.4,58.74,48.57,2.48,non-potable
18.03,5.8,3.89,1880.73,1515.41,538.63,0.37,308.3,0.59,230.89,639.8,5.84,198.07,195.84,51.1,49.6,3.41,non-potable
25.31,9.38,8.77,2914.54,1228.65,472.21,0.35,399.54,0.41,307.35,487.29,5.15,183.9,176.13,50.05,78.9,2.62,non-potable
24.93,5.52,11.02,2414.81,1547.6,310.08,0.4,360.46,0.33,345.83,512.83,6.75,197.46,245.55,85.92,88.87,3.98,non-potable
29.02,6.04,6.01,1886.56,1838.29,539.4,0.33,268.69,0.39,269.15,459.86,5.85,186.68,212.85,91.18,75.48,4.0,non-potable
18.49,6.71,0.86,2316.72,1045.34,526.94,0.35,305.89,0.31,227.6,674.34,8.57,112.87,299.02,56.98,46.94,3.94,non-potable
26.58,7.24,11.32,1876.91,1753.34,547.72,0.39,388.41,0.6,391.51,661.72,7.91,120.23,152.92,81.2,89.88,3.49,non-potable
19.46,9.42,5.65,2809.62,1863.11,412.46,0.36,341.52,0.3,350.65,797.59,6.9,150.7,283.54,53.32,71.01,3.92,non-potable
29.06,8.79,9.57,2034.88,1217.59,319.4,0.27,383.98,0.38,353.25,487.03,8.99,145.42,232.04,50.1,89.73,3.3,non-potable
15.59,6.56,13.41,2219.89,1634.3,435.99,0.27,463.65,0.38,337.08,438.47,7.63,110.82,155.97,50.94,54.31,2.96,non-potable
15.58,6.85,13.34,2275.34,1773.56,469.69,0.36,300.8,0.33,380.4,545.52,6.33,178.43,190.92,77.05,70.96,4.0,non-potable
23.67,7.56,12.2,1618.83,1657.49,347.03,0.26,396.11,0.48,294.62,716.79,6.26,194.73,251.83,83.78,74.27,2.41,non-potable
29.29,7.68,8.52,2952.48,1432.49,337.75,0.33,490.99,0.44,362.25,636.93,9.35,190.47,210.07,82.02,81.0,2.22,non-potable
29.09,8.21,13.56,2314.85,1591.37,488.63,0.23,340.49,0.43,358.47,500.28,7.17,120.37,205.99,99.09,67.56,2.3,non-potable
15.29,9.0,3.23,1709.79,1706.97,404.02,0.34,360.21,0.58,238.68,494.75,9.26,143.48,295.08,88.54,81.37,3.84,non-potable
22.77,9.0,12.96,2126.03,1635.0,357.46,0.32,343.41,0.49,361.06,776.21,5.77,172.59,266.83,70.45,72.78,3.56,non-potable
18.81,7.48,0.01,1912.98,1794.05,394.79,0.34,251.22,0.52,216.42,584.94,8.93,167.28,167.23,72.51,59.49,2.97,non-potable
26.46,9.57,8.66,2765.89,1404.41,475.66,0.36,382.6,0.54,288.35,789.08,9.58,142.44,292.88,82.64,46.87,3.78,non-potable
29.68,8.99,4.47,2122.88,1726.85,571.74,0.23,328.8,0.4,244.97,412.11,7.83,145.56,281.03,60.52,57.93,2.92,non-potable
19.57,7.26,11.5,2917.3,1061.82,461.4,0.38,473.17,0.49,387.17,571.5,9.4,141.49,288.14,77.62,77.79,3.83,non-potable
25.78,6.85,5.13,2021.27,1924.81,514.93,0.29,323.49,0.41,217.81,496.17,7.78,112.75,271.31,55.3,54.99,3.49,non-potable
25.31,8.44,2.01,2368.1,1857.97,355.98,0.29,430.94,0.52,354.83,684.92,8.94,109.87,286.81,76.03,50.5,2.34,non-potable
22.9,9.14,10.02,2239.23,1150.29,372.19,0.33,334.39,0.38,234.28,659.03,8.94,126.9,249.75,81.59,64.87,2.32,non-potable
26.28,7.76,6.26,2379.66,1829.04,410.15,0.32,332.46,0.37,320.41,755.48,8.79,166.82,227.19,72.68,53.12,2.87,non-potable
22.81,6.02,3.95,1550.86,1230.25,389.64,0.34,256.58,0.31,240.7,636.76,8.01,125.24,246.76,77.63,57.85,3.61,non-potable
17.54,6.35,6.44,1788.36,1958.35,323.92,0.22,437.3,0.54,330.93,707.14,5.79,196.75,209.23,96.45,69.63,3.2,non-potable
23.81,6.21,12.1,1782.25,1330.65,435.34,0.32,490.26,0.39,252.13,511.0,9.52,147.54,199.14,88.41,71.98,4.26,non-potable
29.12,8.35,12.0,1973.47,1411.7,506.71,0.27,453.28,0.43,335.76,594.4,9.38,129.34,244.88,70.39,67.68,4.01,non-potable
28.23,7.69,12.71,2139.67,1327.66,497.63,0.26,392.99,0.39,232.62,477.14,9.36,104.13,259.6,72.59,47.5,2.6,non-potable
24.95,5.07,13.72,2342.38,1386.26,448.12,0.31,497.92,0.5,371.3,626.56,9.28,122.34,238.07,73.76,45.7,4.01,non-potable
26.42,6.23,13.84,2285.99,1832.68,352.3,0.26,494.05,0.43,332.37,716.71,7.01,129.55,241.34,51.38,59.72,4.1,non-potable
25.44,5.4,10.17,2340.18,1834.94,587.92,0.28,372.44,0.37,302.17,658.98,7.79,185.97,213.12,54.63,67.9,3.04,non-potable
15.75,5.53,13.28,2097.73,1443.71,449.59,0.26,330.22,0.44,396.98,710.19,5.64,168.24,169.53,69.28,75.84,4.23,non-potable
17.67,8.64,9.78,1972.02,1386.86,532.34,0.21,428.44,0.6,241.05,646.94,8.29,149.61,289.25,91.9,75.84,3.07,non-potable
20.08,8.35,9.67,2712.71,1836.16,505.23,0.3,481.53,0.36,214.78,635.83,6.81,146.3,254.98,55.94,49.19,2.6,non-potable
20.44,9.78,10.05,2690.3,1734.99,408.86,0.25,400.03,0.43,285.58,445.57,7.55,157.74,228.51,63.28,73.41,3.04,non-potable
20.64,5.92,10.48,1790.05,1440.85,414.61,0.39,351.91,0.43,232.76,625.57,5.64,103.34,166.78,53.16,63.96,3.41,non-potable
19.18,8.71,11.58,1994.27,1226.23,520.34,0.34,251.37,0.39,383.61,578.58,6.32,164.06,179.98,84.49,74.62,2.46,non-potable
15.84,6.42,4.66,2096.1,1046.39,316.67,0.31,386.16,0.55,397.31,584.43,6.82,170.85,276.78,99.8,80.52,3.34,non-potable
20.47,6.42,6.49,2214.34,1573.83,525.2,0.38,326.4,0.53,212.33,523.73,6.22,147.0,253.3,66.39,55.66,3.88,non-potable
19.79,7.06,9.87,2727.79,1550.08,511.22,0.24,349.78,0.56,384.86,480.67,8.9,143.4,199.4,89.56,59.13,4.31,non-potable
29.22,6.03,3.97,2574.75,1939.63,337.36,0.39,301.8,0.36,291.17,540.73,6.91,182.89,170.17,85.57,75.7,3.72,non-potable
23.37,7.99,2.34,2538.75,1505.5,419.71,0.26,483.41,0.6,319.82,587.69,7.31,169.96,288.96,79.25,52.24,3.29,non-potable
20.81,9.42,9.02,2970.94,1712.92,549.67,0.21,378.9,0.46,329.27,671.05,5.85,199.84,191.23,85.16,70.0,4.09,non-potable
21.17,9.32,2.7,2412.01,1224.76,424.74,0.28,285.37,0.4,367.95,744.94,7.31,128.54,150.04,88.06,89.94,4.32,non-potable
29.92,5.34,3.9,2246.72,1555.13,471.01,0.27,271.2,0.45,327.58,771.73,5.87,154.31,286.95,84.05,72.01,3.35,non-potable
26.85,5.81,13.82,2833.71,1343.12,388.84,0.28,419.58,0.52,216.29,422.97,6.61,161.83,227.17,99.03,61.2,2.66,non-potable
20.24,7.52,9.15,2940.19,1520.97,564.95,0.26,320.63,0.54,369.0,465.42,8.76,149.46,178.76,82.66,65.6,2.58,non-potable
24.61,7.06,12.83,2361.06,1914.95,487.48,0.4,452.28,0.52,215.95,645.39,7.26,120.67,219.76,70.32,78.89,2.67,non-potable
18.69,6.13,4.97,2013.45,1559.61,556.64,0.35,328.91,0.39,252.33,694.87,9.83,166.01,186.92,92.38,71.4,3.87,non-potable
20.6,5.98,13.95,2523.54,1932.44,586.98,0.38,477.24,0.53,247.05,502.64,9.35,170.17,157.72,79.1,88.52,4.11,non-potable
16.0,8.09,13.57,2828.3,1911.38,554.36,0.28,343.51,0.51,333.61,605.8,9.93,140.3,198.41,97.3,59.7,3.67,non-potable
19.35,6.02,1.48,2016.62,1689.5,562.25,0.22,300.62,0.34,249.07,470.51,6.48,107.46,258.0,60.15,64.67,3.8,non-potable
25.73,6.02,12.0,2459.59,1154.77,446.11,0.36,321.37,0.44,256.13,754.39,5.57,124.3,181.58,90.96,74.94,2.63,non-potable
17.31,7.93,0.74,2388.26,1078.56,487.52,0.3,471.44,0.55,305.59,587.82,7.91,123.09,161.86,58.08,46.52,3.21,non-potable
26.32,8.32,9.3,1641.51,1547.97,313.02,0.34,314.94,0.4,296.6,684.46,9.71,123.26,275.58,65.98,50.13,3.48,non-potable
20.54,5.73,10.77,1740.48,1159.46,327.0,0.36,451.17,0.31,275.61,429.15,6.57,166.51,286.78,69.71,82.12,4.14,non-potable
21.11,9.64,5.31,2295.74,1923.05,485.53,0.21,283.51,0.47,292.35,586.13,7.0,140.73,156.36,97.73,46.81,3.47,non-potable
29.17,5.74,10.81,1903.75,1956.62,472.56,0.24,439.68,0.31,359.48,604.25,5.37,109.91,189.85,61.58,86.56,4.15,non-potable
16.02,8.78,10.68,2761.43,1847.68,546.79,0.22,294.23,0.6,249.06,780.43,8.28,101.1,181.02,90.77,65.68,2.66,non-potable
15.64,5.11,5.91,2001.07,1411.64,316.6,0.25,266.63,0.5,387.58,438.54,7.18,122.12,215.63,61.96,76.96,3.46,non-potable
20.96,9.64,0.38,2930.36,1099.26,421.93,0.38,431.3,0.48,223.54,407.34,9.48,198.85,181.54,54.88,83.03,3.51,non-potable
23.51,5.15,11.1,1516.57,1199.24,365.39,0.23,293.62,0.58,266.31,498.96,7.5,138.78,208.93,92.94,73.29,3.4,non-potable
20.99,6.22,13.38,2097.23,1343.23,561.46,0.23,278.39,0.36,284.49,410.98,6.14,183.75,211.88,54.24,72.09,3.72,non-potable
16.04,9.41,13.52,1605.26,1161.72,563.33,0.37,294.76,0.39,309.24,404.95,8.96,150.39,266.97,59.63,67.7,2.41,non-potable
28.0,9.24,12.2,2762.25,1188.21,301.74,0.25,252.91,0.48,282.79,499.07,8.05,115.67,175.74,61.1,69.83,2.43,non-potable
28.4,5.18,10.75,2742.62,1078.58,355.74,0.29,266.31,0.56,341.51,742.49,5.06,149.23,238.14,70.79,66.37,2.78,non-potable
22.01,8.2,4.99,1818.88,1325.61,407.29,0.26,319.41,0.54,286.82,541.67,6.95,150.07,295.34,53.97,73.27,2.56,non-potable
21.73,8.49,12.58,2771.4,1220.74,359.51,0.24,389.21,0.54,338.29,731.45,5.83,112.15,255.26,62.04,83.25,4.19,non-potable
29.0,8.2,12.51,2805.72,1012.19,442.34,0.39,418.41,0.58,256.99,456.41,8.08,105.34,184.68,97.2,75.89,3.39,non-potable
28.94,6.06,4.08,2520.55,1914.7,429.67,0.34,278.8,0.42,262.42,683.25,8.6,133.62,182.23,65.05,78.29,3.36,non-potable
15.97,6.27,11.96,2150.76,1550.99,519.56,0.33,497.72,0.47,378.01,661.49,6.57,175.23,203.16,50.59,57.5,3.28,non-potable
18.04,6.69,5.36,1688.26,1891.53,497.8,0.31,350.84,0.35,271.68,578.67,8.21,116.35,254.83,81.16,60.04,3.23,non-potable
16.69,7.39,4.53,1501.47,1809.99,567.23,0.34,312.07,0.56,292.27,630.05,5.2,169.0,214.62,95.35,67.0,2.56,non-potable
22.61,7.37,5.89,1846.03,1911.14,398.51,0.23,259.76,0.58,303.41,525.02,9.14,170.52,224.15,96.15,68.96,4.06,non-potable
22.34,6.25,4.51,2012.66,1603.88,471.34,0.28,473.2,0.57,370.3,579.4,6.32,115.02,187.9,79.07,56.61,3.31,non-potable
20.16,5.75,3.56,2240.18,1346.59,555.85,0.39,268.98,0.39,248.17,582.04,5.34,148.59,157.13,62.67,86.1,3.52,non-potable
20.73,7.19,5.6,1671.73,1898.64,589.21,0.27,446.33,0.44,233.01,444.46,6.24,164.66,172.66,69.38,67.11,4.22,non-potable
15.06,8.68,9.82,2253.82,1950.64,536.59,0.25,325.61,0.32,351.67,783.93,7.87,171.45,293.93,80.91,74.66,4.19,non-potable
23.24,5.68,2.25,2752.8,1012.89,471.92,0.27,348.92,0.6,227.65,448.02,6.09,131.05,165.57,56.59,52.85,3.45,non-potable
28.88,7.56,1.22,2036.01,1656.04,333.93,0.32,468.46,0.37,252.98,673.9,8.23,176.11,180.15,84.75,58.51,2.28,non-potable
16.61,5.72,11.69,2551.1,1288.73,386.68,0.32,268.46,0.44,336.6,661.86,7.92,197.41,159.19,57.07,47.64,4.01,non-potable
27.82,9.12,0.87,2825.89,1138.75,455.6,0.39,470.4,0.43,216.98,444.6,9.64,151.59,178.96,68.17,46.91,2.59,non-potable
24.16,7.11,0.35,2894.35,1685.16,320.24,0.31,377.38,0.57,271.75,644.49,9.53,187.53,283.07,98.62,70.14,3.19,non-potable
15.65,9.58,9.21,2087.43,1916.58,568.54,0.23,407.64,0.35,289.75,557.76,9.87,171.63,239.08,78.9,75.14,2.71,non-potable
23.06,5.16,2.84,2827.84,1248.16,350.71,0.35,290.07,0.5,338.37,780.51,7.95,102.98,299.57,86.39,76.57,3.09,non-potable
23.85,9.42,0.98,2995.7,1393.38,359.55,0.23,496.12,0.53,332.71,504.84,8.65,115.62,217.37,90.31,83.96,3.54,non-potable
22.05,8.14,13.12,2798.93,1264.59,466.55,0.34,251.12,0.5,350.98,443.88,7.01,169.68,163.0,66.7,68.09,2.64,non-potable
24.19,9.37,2.55,2572.35,1142.0,432.78,0.38,462.18,0.45,294.93,608.67,5.25,189.28,242.25,82.93,81.96,3.06,non-potable
21.95,7.07,5.97,1716.03,1143.11,357.3,0.35,252.63,0.31,339.73,448.27,6.87,156.6,234.1,97.74,85.52,2.77,non-potable
26.63,8.43,12.99,2050.29,1722.64,396.91,0.24,296.14,0.53,313.74,649.38,5.27,184.74,178.51,58.55,59.06,4.24,non-potable
23.71,7.98,0.87,2949.37,1733.45,565.25,0.28,468.08,0.33,361.31,536.71,7.85,186.99,187.38,67.07,50.34,4.13,non-potable
16.27,8.02,8.97,2987.6,1438.55,454.81,0.27,482.9,0.3,394.63,790.67,6.08,116.4,257.93,59.99,55.91,3.15,non-potable
22.27,6.4,13.85,2819.48,1332.72,469.75,0.25,487.34,0.59,204.64,405.01,9.31,122.91,247.12,75.45,46.96,2.29,non-potable
25.0,8.3,3.92,2295.46,1891.31,417.7,0.28,469.85,0.57,257.49,557.62,6.74,199.96,170.91,59.25,67.2,2.93,non-potable
25.21,8.17,9.09,2028.26,1475.7,458.43,0.24,426.89,0.33,381.85,751.02,6.21,185.28,291.28,50.21,72.86,2.33,non-potable
28.26,8.69,3.22,2660.19,1481.8,543.7,0.35,274.34,0.45,230.99,751.89,7.69,115.57,193.91,71.67,83.66,3.7,non-potable
19.94,9.68,10.24,2948.36,1813.41,382.96,0.31,423.65,0.5,316.41,559.3,8.54,123.32,231.48,61.98,74.8,2.94,non-potable
16.03,8.45,9.34,1507.49,1203.92,579.95,0.21,428.33,0.49,307.14,437.21,6.81,161.37,282.7,94.96,46.59,3.66,non-potable
22.03,8.89,13.98,1592.59,1664.82,302.05,0.32,354.58,0.41,276.88,604.34,6.19,128.65,279.16,84.98,79.57,2.97,non-potable
15.41,6.74,10.63,2803.03,1704.43,361.76,0.33,393.75,0.43,280.11,760.05,7.03,132.34,185.99,80.02,77.96,4.0,non-potable
28.51,8.77,3.42,2529.5,1412.65,598.29,0.3,376.34,0.3,334.18,427.42,5.01,168.24,242.46,84.08,88.79,4.12,non-potable
23.51,7.89,3.74,1947.51,1406.06,343.09,0.4,295.04,0.59,212.78,653.4,9.08,140.08,209.51,78.58,56.55,2.76,non-potable
24.72,5.07,3.97,1809.87,1249.14,387.08,0.37,468.78,0.49,295.49,503.32,6.94,162.8,150.6,83.92,60.87,2.49,non-potable
26.09,7.82,11.79,2200.54,1995.16,445.74,0.38,365.7,0.45,369.34,490.64,7.51,131.86,150.56,87.73,76.9,4.03,non-potable
25.89,5.11,9.35,1878.83,1088.64,484.27,0.2,456.71,0.4,313.53,452.13,5.32,175.1,289.68,76.94,71.61,4.05,non-potable
15.93,6.22,11.31,2322.2,1644.27,332.99,0.38,370.31,0.59,317.45,637.93,8.28,103.33,230.45,85.95,52.76,4.02,non-potable
27.67,7.82,3.13,1622.73,1811.2,301.52,0.2,295.75,0.52,285.75,753.68,6.37,104.06,260.56,76.81,53.16,3.57,non-potable
29.12,5.96,11.65,1832.2,1033.74,500.45,0.35,250.26,0.58,363.1,495.85,6.16,146.19,214.39,55.97,69.66,3.86,non-potable
26.35,5.3,3.58,2055.31,1896.25,307.36,0.38,359.48,0.59,331.76,514.29,9.34,138.97,163.0,86.57,76.48,4.22,non-potable
28.87,5.73,10.3,1561.93,1631.55,421.67,0.3,253.2,0.46,202.61,408.52,7.35,102.29,238.43,66.1,89.32,3.89,non-potable
20.47,7.62,3.36,2342.19,1976.96,569.19,0.33,372.09,0.42,331.89,753.57,6.65,195.29,153.95,87.51,65.26,3.97,non-potable
17.81,6.43,0.25,2652.12,1837.89,319.57,0.34,369.86,0.44,322.19,712.85,5.09,100.79,265.8,97.97,86.61,2.47,non-potable
19.0,7.58,5.22,2416.28,1401.86,583.58,0.34,370.85,0.51,204.33,461.86,9.64,106.54,251.07,92.85,80.89,3.28,non-potable
20.33,6.46,9.47,2321.51,1234.47,462.88,0.23,271.08,0.49,277.45,599.32,8.08,143.69,187.3,73.06,75.63,2.34,non-potable
16.7,5.45,10.11,1640.31,1207.87,512.1,0.38,432.97,0.53,211.58,570.96,6.89,152.2,177.52,66.77,84.98,3.6,non-potable
24.44,7.26,2.44,2717.51,1179.58,365.8,0.23,311.62,0.5,288.31,592.73,7.33,160.73,269.6,93.89,52.46,4.04,non-potable
16.34,8.53,11.32,2791.4,1555.41,409.12,0.35,401.8,0.48,234.22,520.39,8.64,121.02,185.0,95.51,67.79,3.69,non-potable
20.12,8.41,4.88,2650.48,1337.25,409.4,0.23,319.57,0.56,288.24,732.08,6.31,151.29,183.55,56.78,66.47,4.17,non-potable
29.4,8.79,2.1,1906.06,1071.5,310.04,0.32,268.78,0.5,394.45,406.25,5.1,183.79,162.49,65.87,71.95,3.83,non-potable
19.42,6.56,6.33,1868.3,1360.73,534.69,0.28,296.33,0.52,262.44,466.51,7.16,143.38,262.84,78.89,80.21,3.29,non-potable
20.76,6.17,2.64,2275.95,1694.67,305.37,0.35,396.92,0.54,291.52,559.81,5.58,146.63,263.54,78.03,62.34,3.62,non-potable
20.98,8.19,1.74,2833.68,1785.81,331.24,0.39,474.42,0.33,280.74,529.85,9.37,134.89,221.0,79.05,58.63,4.29,non-potable
24.53,8.51,2.31,1518.89,1683.0,530.59,0.38,349.88,0.49,233.26,598.2,5.2,194.1,274.35,79.59,71.27,2.94,non-potable
20.34,6.59,6.13,2160.12,1794.53,370.04,0.32,474.15,0.56,361.23,750.69,8.9,169.26,280.69,57.23,58.02,4.24,non-potable
23.76,8.18,13.96,2504.87,1959.3,593.84,0.31,354.07,0.44,342.78,528.9,6.65,109.47,287.95,69.15,66.27,4.29,non-potable
25.1,7.11,0.5,2628.62,1991.09,341.39,0.4,308.96,0.31,283.95,444.75,6.01,177.95,188.77,82.96,75.89,3.2,non-potable
20.37,8.19,3.52,1534.1,1732.22,389.84,0.2,433.43,0.43,304.29,412.24,7.41,198.3,268.04,93.48,45.21,3.95,non-potable
19.0,8.69,12.93,2211.19,1296.15,351.58,0.28,411.73,0.31,287.05,421.4,5.89,115.79,204.65,66.26,69.22,2.47,non-potable
24.33,5.58,10.38,1658.21,1509.63,424.09,0.28,373.01,0.41,368.59,503.35,6.18,162.36,221.0,92.06,66.82,3.93,non-potable
26.11,9.19,12.84,2966.79,1904.35,423.92,0.22,308.04,0.38,317.51,455.95,7.97,123.1,229.45,67.25,65.33,4.26,non-potable
25.02,9.8,4.79,2285.1,1199.46,598.7,0.26,494.62,0.52,394.09,433.49,6.35,199.61,185.22,78.34,82.4,2.51,non-potable
23.85,7.41,5.96,1550.32,1941.88,463.21,0.34,388.24,0.44,259.23,615.73,9.4,139.52,164.36,95.84,50.61,3.38,non-potable
25.46,6.64,12.93,1934.21,1863.66,456.3,0.28,452.01,0.52,328.9,631.3,7.6,143.47,245.37,69.1,61.56,2.54,non-potable
22.27,7.78,8.93,2094.35,1098.37,556.89,0.3,318.87,0.52,282.8,602.38,6.06,147.52,177.95,91.23,81.88,2.85,non-potable
16.73,9.46,3.66,2549.77,1185.23,309.04,0.37,466.09,0.45,284.64,418.02,7.87,187.19,298.96,52.63,60.35,3.48,non-potable
26.28,6.61,1.7,2522.86,1393.25,401.31,0.29,427.65,0.32,387.7,425.59,7.38,151.31,293.08,51.68,52.55,4.11,non-potable
29.28,6.62,2.22,2643.5,1919.11,532.39,0.3,351.63,0.3,216.37,663.19,6.09,134.59,175.41,86.43,76.98,3.89,non-potable
26.48,5.81,10.91,2392.2,1157.67,384.38,0.37,378.65,0.57,274.51,513.8,5.71,118.18,299.97,64.13,51.1,3.72,non-potable
25.44,6.26,1.35,2440.75,1050.68,467.51,0.24,471.16,0.48,342.7,726.01,7.73,114.53,159.39,73.14,70.28,4.25,non-potable
22.14,8.1,9.86,2549.75,1467.7,599.57,0.37,383.25,0.5,257.62,707.78,7.47,121.05,213.28,78.92,70.74,3.15,non-potable
16.23,6.8,11.43,2748.93,1763.75,416.89,0.37,448.31,0.34,375.63,509.18,6.54,117.46,225.56,77.05,61.91,3.01,non-potable
21.51,6.39,6.33,1569.14,1303.46,371.67,0.22,346.39,0.36,317.6,574.96,9.88,168.62,265.38,56.27,84.06,3.3,non-potable
15.71,8.52,11.16,2258.63,1516.78,319.65,0.39,480.5,0.4,302.64,632.15,5.28,195.78,168.48,81.75,45.96,4.01,non-potable
23.14,9.11,0.25,2314.35,1606.93,344.48,0.34,398.88,0.55,281.04,605.54,9.45,179.54,231.74,64.75,63.65,3.93,non-potable
26.56,5.8,13.59,2124.54,1843.82,438.45,0.22,341.16,0.52,378.24,457.51,8.4,126.22,257.23,66.7,87.93,2.38,non-potable
18.44,9.85,0.29,2488.12,1579.54,391.48,0.36,328.75,0.34,378.5,747.68,8.33,102.73,236.85,87.46,74.78,3.68,non-potable
17.2,7.04,11.72,2745.2,1949.11,504.8,0.26,296.45,0.35,266.23,424.42,9.77,120.48,206.08,94.54,47.82,2.92,non-potable
25.26,7.38,1.63,2728.53,1463.34,394.64,0.35,404.66,0.55,340.16,613.32,5.88,198.87,294.32,83.63,76.15,2.36,non-potable
26.7,8.95,9.91,1953.39,1978.53,387.87,0.22,403.69,0.59,254.12,477.82,8.82,142.46,179.55,67.47,65.48,4.15,non-potable
27.48,7.29,13.81,1970.04,1114.56,458.75,0.32,385.91,0.33,329.37,588.83,5.74,164.51,270.51,52.79,63.92,3.16,non-potable
24.48,6.84,10.28,2007.41,1423.52,480.35,0.27,467.66,0.39,213.6,473.95,6.49,115.34,177.45,85.48,61.19,2.21,non-potable
22.05,5.01,10.08,1957.72,1477.57,588.06,0.38,352.76,0.56,325.31,409.44,7.62,172.18,157.28,96.43,77.03,4.34,non-potable
20.26,8.2,5.09,2332.04,1520.62,383.11,0.35,256.23,0.34,248.6,636.1,9.46,107.47,211.62,91.33,86.9,3.29,non-potable
19.23,9.46,4.53,1729.93,1420.07,407.29,0.38,355.86,0.49,324.99,496.55,6.36,147.72,158.41,99.67,74.44,3.42,non-potable
16.46,9.25,0.22,2615.52,1286.23,571.19,0.34,416.81,0.52,282.49,573.63,6.27,119.6,204.46,60.27,77.52,2.52,non-potable
16.91,9.68,4.44,2138.42,1830.4,447.51,0.27,404.8,0.33,215.28,541.23,8.47,129.86,180.84,71.2,65.95,4.29,non-potable
23.61,8.96,13.43,1773.74,1887.69,454.12,0.38,281.75,0.36,381.76,407.43,8.17,167.25,182.51,61.72,51.73,4.38,non-potable
20.36,7.96,11.03,2284.97,1529.58,371.58,0.22,497.8,0.6,324.01,757.14,9.84,155.46,271.5,54.38,86.87,3.22,non-potable
